CategorieSocioPro;Demande;Raison;Index
Ouvriers qualifiés;Amélioration des conditions de travail dans les hôpitaux;Les personnels soignants sont épuisés et les conditions de travail se détériorent.;3
Ouvriers qualifiés;Amélioration des services publics;Les ressources sont insuffisantes, nous ne pouvons pas bien faire notre travail.;4
Ouvriers qualifiés;Amélioration de la sécurité au travail;Les accidents sont fréquents et les mesures de sécurité sont insuffisantes.;5
Ouvriers qualifiés;Simplification des démarches administratives;Les formalités sont trop complexes et nous font perdre un temps précieux.;6
Ouvriers qualifiés;Promotion de la diversité culturelle;Il est important de valoriser la richesse culturelle de notre pays pour éviter que certaines communautés ne se sentent exclues.;7
Ouvriers qualifiés;Stabilisation des contrats de travail;Le précariat est trop répandu, nous avons besoin de sécurité.;8
Ouvriers qualifiés;Lutte contre le harcèlement scolaire;Les enfants doivent pouvoir aller à l'école sans crainte de subir des mauvais traitements.;9
Ouvriers qualifiés;Soutien psychologique pour les travailleurs;Le stress au travail est un problème majeur qui affecte la productivité et le bien-être.;10
Ouvriers qualifiés;Réduction des taxes agricoles;Les coûts de production sont trop élevés et les marges trop faibles pour survivre.;11
Ouvriers qualifiés;Augmentation des aides sociales;Les aides actuelles ne suffisent pas à couvrir les besoins essentiels des plus démunis, ce qui complique énormément leur quotidien.;12
Ouvriers qualifiés;Soutien aux travailleurs indépendants;Les charges sociales et fiscales sont trop lourdes pour les auto-entrepreneurs.;13
Ouvriers qualifiés;Investissements dans l'innovation technologique;Nous devons rester compétitifs au niveau mondial, sinon nous serons dépassés.;14
Ouvriers qualifiés;Réduction des inégalités d'accès à la technologie;Tout le monde doit pouvoir bénéficier des avancées technologiques pour ne pas être laissé de côté.;15
Ouvriers qualifiés;Réduction des frais de scolarité;L'éducation doit être accessible à tous, c'est crucial pour l'avenir.;16
Ouvriers qualifiés;Soutien aux familles nombreuses;Les familles nombreuses ont des besoins spécifiques qui ne sont pas toujours pris en compte, ce qui complique leur gestion quotidienne.;17
Ouvriers qualifiés;Soutien psychologique pour les travailleurs;Le stress au travail est un problème majeur qui affecte la productivité et le bien-être.;18
Ouvriers qualifiés;Réduction des inégalités d'accès à la technologie;Tout le monde doit pouvoir bénéficier des avancées technologiques pour ne pas être laissé de côté.;19
Ouvriers qualifiés;Réduction de la charge fiscale sur les entreprises;Les impôts sont trop élevés, nous avons du mal à rester à flot.;20
Ouvriers qualifiés;Lutte contre le harcèlement scolaire;Les enfants doivent pouvoir aller à l'école sans crainte de subir des mauvais traitements.;21
Ouvriers qualifiés;Soutien à l'innovation entrepreneuriale;Les startups ont besoin de plus de financement pour se développer.;22
Ouvriers qualifiés;Création de logements sociaux;Il y a une pénurie de logements abordables pour les familles à faible revenu.;23
Ouvriers qualifiés;Création d'emplois et formations;Nous avons besoin d'opportunités pour sortir du chômage.;24
Ouvriers qualifiés;Amélioration de la sécurité au travail;Les accidents sont fréquents et les mesures de sécurité sont insuffisantes.;25
Ouvriers qualifiés;Réduction des inégalités d'accès à la technologie;Tout le monde doit pouvoir bénéficier des avancées technologiques pour ne pas être laissé de côté.;26
Ouvriers qualifiés;Télétravail et flexibilité des horaires;Nous avons besoin de plus de flexibilité pour mieux concilier vie professionnelle et personnelle.;27
Ouvriers qualifiés;Amélioration des infrastructures urbaines;Les rues sont en mauvais état, cela dissuade les clients de venir.;28
Ouvriers qualifiés;Réduction du temps de travail;Les journées de travail sont trop longues et nuisent à notre santé.;29
Ouvriers qualifiés;Réduction des taxes agricoles;Les coûts de production sont trop élevés et les marges trop faibles pour survivre.;30
Ouvriers qualifiés;Augmentation des aides sociales;Les aides actuelles ne suffisent pas à couvrir les besoins essentiels des plus démunis, ce qui complique énormément leur quotidien.;31
Ouvriers qualifiés;Soutien à la transition énergétique;Nous devons réduire notre dépendance aux énergies fossiles pour un avenir plus durable.;32
Ouvriers qualifiés;Promotion de l'égalité salariale entre hommes et femmes;Il existe encore un écart salarial important entre les sexes.;33
Ouvriers qualifiés;Promotion de la diversité culturelle;Il est important de valoriser la richesse culturelle de notre pays pour éviter que certaines communautés ne se sentent exclues.;34
Ouvriers qualifiés;Développement des transports publics;Les transports en commun sont insuffisants et mal desservis dans les zones rurales.;35
Ouvriers qualifiés;Réduction des frais médicaux;Les dépenses de santé sont difficiles à supporter pour les familles modestes.;36
Ouvriers qualifiés;Promotion du télétravail;Le télétravail permet de mieux concilier vie professionnelle et personnelle, et devrait être plus largement accessible.;37
Ouvriers qualifiés;Investissements dans l'innovation technologique;Nous devons rester compétitifs au niveau mondial, sinon nous serons dépassés.;38
Ouvriers qualifiés;Création de logements sociaux;Il y a une pénurie de logements abordables pour les familles à faible revenu.;39
Ouvriers qualifiés;Stabilisation des contrats de travail;Le précariat est trop répandu, nous avons besoin de sécurité.;40
Ouvriers qualifiés;Promotion de l'égalité salariale entre hommes et femmes;Il existe encore un écart salarial important entre les sexes.;41
Ouvriers qualifiés;Augmentation des salaires des fonctionnaires;Les salaires sont gelés depuis trop longtemps, c'est décourageant.;42
Ouvriers qualifiés;Soutien à l'innovation entrepreneuriale;Les startups ont besoin de plus de financement pour se développer.;43
Ouvriers qualifiés;Amélioration des conditions de travail dans les hôpitaux;Les personnels soignants sont épuisés et les conditions de travail se détériorent.;44
Ouvriers qualifiés;Meilleure accessibilité des bâtiments publics;Les personnes à mobilité réduite rencontrent encore trop d'obstacles, ce qui limite leur autonomie.;45
Ouvriers qualifiés;Création de logements sociaux;Il y a une pénurie de logements abordables pour les familles à faible revenu.;46
Ouvriers qualifiés;Promotion de la diversité culturelle;Il est important de valoriser la richesse culturelle de notre pays pour éviter que certaines communautés ne se sentent exclues.;47
Ouvriers qualifiés;Soutien à la transition énergétique;Nous devons réduire notre dépendance aux énergies fossiles pour un avenir plus durable.;48
Ouvriers qualifiés;Réduction des inégalités d'accès à la technologie;Tout le monde doit pouvoir bénéficier des avancées technologiques pour ne pas être laissé de côté.;49
Ouvriers qualifiés;Amélioration des services de garde d'enfants;Les places en crèche sont insuffisantes, ce qui complique la vie des parents qui travaillent.;50
Ouvriers qualifiés;Réduction des taxes agricoles;Les coûts de production sont trop élevés et les marges trop faibles pour survivre.;51
Ouvriers qualifiés;Soutien à l'artisanat local;Le commerce en ligne nous écrase et on perd notre clientèle fidèle.;52
Ouvriers qualifiés;Programmes de reconversion professionnelle;Les opportunités sont limitées, nous avons besoin de nouvelles compétences.;53
Ouvriers qualifiés;Réduction des taxes agricoles;Les coûts de production sont trop élevés et les marges trop faibles pour survivre.;54
Ouvriers qualifiés;Amélioration des infrastructures urbaines;Les rues sont en mauvais état, cela dissuade les clients de venir.;55
Ouvriers qualifiés;Programmes de reconversion professionnelle;Les opportunités sont limitées, nous avons besoin de nouvelles compétences.;56
Ouvriers qualifiés;Meilleure accessibilité des bâtiments publics;Les personnes à mobilité réduite rencontrent encore trop d'obstacles, ce qui limite leur autonomie.;57
Ouvriers qualifiés;Soutien psychologique pour les travailleurs;Le stress au travail est un problème majeur qui affecte la productivité et le bien-être.;58
Ouvriers qualifiés;Soutien aux personnes sans emploi;La précarité est difficile à vivre, nous avons besoin de soutien.;59
Ouvriers qualifiés;Réduction de la charge fiscale sur les entreprises;Les impôts sont trop élevés, nous avons du mal à rester à flot.;60
Ouvriers qualifiés;Augmentation des effectifs de police;Les équipes sont en sous-effectif, c'est stressant et dangereux.;61
Ouvriers qualifiés;Formation continue pour les techniciens;Nous avons besoin de mise à jour régulière des compétences pour ne pas être dépassés.;62
Ouvriers qualifiés;Programmes de reconversion professionnelle;Les opportunités sont limitées, nous avons besoin de nouvelles compétences.;63
Ouvriers qualifiés;Création d'emplois et formations;Nous avons besoin d'opportunités pour sortir du chômage.;64
Ouvriers qualifiés;Réduction des frais médicaux;Les dépenses de santé sont difficiles à supporter pour les familles modestes.;65
Ouvriers qualifiés;Création de logements sociaux;Il y a une pénurie de logements abordables pour les familles à faible revenu.;66
Ouvriers qualifiés;Protection de l'environnement;Les politiques actuelles ne font pas assez pour lutter contre le changement climatique.;67
Ouvriers qualifiés;Soutien aux familles nombreuses;Les familles nombreuses ont des besoins spécifiques qui ne sont pas toujours pris en compte, ce qui complique leur gestion quotidienne.;68
Ouvriers qualifiés;Soutien à l'artisanat local;Le commerce en ligne nous écrase et on perd notre clientèle fidèle.;69
Ouvriers qualifiés;Développement des transports publics;Les transports en commun sont insuffisants et mal desservis dans les zones rurales.;70
Ouvriers qualifiés;Stabilisation des contrats de travail;Le précariat est trop répandu, nous avons besoin de sécurité.;71
Ouvriers qualifiés;Protection de l'environnement;Les politiques actuelles ne font pas assez pour lutter contre le changement climatique.;72
Ouvriers qualifiés;Investissements dans l'innovation technologique;Nous devons rester compétitifs au niveau mondial, sinon nous serons dépassés.;73
Ouvriers qualifiés;Soutien aux industries culturelles;La pandémie a durement frappé ce secteur, nous sommes au bord du gouffre.;74
Ouvriers qualifiés;Soutien à la transition énergétique;Nous devons réduire notre dépendance aux énergies fossiles pour un avenir plus durable.;75
Ouvriers qualifiés;Augmentation des pensions de retraite;Le coût de la vie augmente, notre pension ne suffit plus.;76
Ouvriers qualifiés;Promotion de la diversité culturelle;Il est important de valoriser la richesse culturelle de notre pays pour éviter que certaines communautés ne se sentent exclues.;77
Ouvriers qualifiés;Augmentation des effectifs de police;Les équipes sont en sous-effectif, c'est stressant et dangereux.;78
Ouvriers qualifiés;Réduction des frais médicaux;Les dépenses de santé sont difficiles à supporter pour les familles modestes.;79
Ouvriers qualifiés;Augmentation des pensions d'invalidité;Les personnes handicapées ne reçoivent pas assez de soutien financier, ce qui les laisse souvent dans des situations très difficiles.;80
Ouvriers qualifiés;Amélioration des infrastructures routières;Les routes sont dangereuses, c'est un risque quotidien pour nous.;81
Ouvriers qualifiés;Programmes de reconversion professionnelle;Les opportunités sont limitées, nous avons besoin de nouvelles compétences.;82
Ouvriers qualifiés;Développement des transports publics;Les transports en commun sont insuffisants et mal desservis dans les zones rurales.;83
Ouvriers qualifiés;Soutien aux travailleurs indépendants;Les charges sociales et fiscales sont trop lourdes pour les auto-entrepreneurs.;84
Ouvriers qualifiés;Amélioration des conditions de travail;Les conditions actuelles sont épuisantes, nous ne pouvons pas continuer ainsi.;85
Ouvriers qualifiés;Accès à des soins de santé mentale;Les services de santé mentale sont débordés et beaucoup ne peuvent pas obtenir l'aide dont ils ont besoin.;86
Ouvriers qualifiés;Réduction des frais médicaux;Les dépenses de santé sont difficiles à supporter pour les familles modestes.;87
Ouvriers qualifiés;Augmentation des budgets pour la recherche;Les financements sont insuffisants, nous ne pouvons pas avancer.;88
Ouvriers qualifiés;Réduction des frais médicaux;Les dépenses de santé sont difficiles à supporter pour les familles modestes.;89
Ouvriers qualifiés;Protection de l'environnement;Les politiques actuelles ne font pas assez pour lutter contre le changement climatique.;90
Ouvriers qualifiés;Révision des honoraires des professions libérales;Les tarifs actuels ne nous permettent plus de vivre correctement.;91
Ouvriers qualifiés;Augmentation des salaires minimum;Le coût de la vie augmente, nous ne pouvons plus joindre les deux bouts.;92
Ouvriers qualifiés;Accès à des soins de santé mentale;Les services de santé mentale sont débordés et beaucoup ne peuvent pas obtenir l'aide dont ils ont besoin.;93
Ouvriers qualifiés;Amélioration des conditions de travail;Les conditions actuelles sont épuisantes, nous ne pouvons pas continuer ainsi.;94
Ouvriers qualifiés;Programmes de reconversion professionnelle;Les opportunités sont limitées, nous avons besoin de nouvelles compétences.;95
Ouvriers qualifiés;Soutien psychologique pour les travailleurs;Le stress au travail est un problème majeur qui affecte la productivité et le bien-être.;96
Ouvriers qualifiés;Création d'emplois et formations;Nous avons besoin d'opportunités pour sortir du chômage.;97
Ouvriers qualifiés;Soutien aux familles monoparentales;Les parents seuls ont du mal à concilier vie professionnelle et vie familiale.;98
Ouvriers qualifiés;Télétravail et flexibilité des horaires;Nous avons besoin de plus de flexibilité pour mieux concilier vie professionnelle et personnelle.;99
Ouvriers qualifiés;Réduction du temps de travail;Les journées de travail sont trop longues et nuisent à notre santé.;100
Ouvriers non qualifiés;Soutien à l'innovation entrepreneuriale;Les startups ont besoin de plus de financement pour se développer.;1
Ouvriers non qualifiés;Création de logements sociaux;Il y a une pénurie de logements abordables pour les familles à faible revenu.;2
Ouvriers non qualifiés;Investissements dans l'innovation technologique;Nous devons rester compétitifs au niveau mondial, sinon nous serons dépassés.;3
Ouvriers non qualifiés;Amélioration des services publics;Les ressources sont insuffisantes, nous ne pouvons pas bien faire notre travail.;4
Ouvriers non qualifiés;Révision des honoraires des professions libérales;Les tarifs actuels ne nous permettent plus de vivre correctement.;5
Ouvriers non qualifiés;Augmentation des salaires des fonctionnaires;Les salaires sont gelés depuis trop longtemps, c'est décourageant.;6
Ouvriers non qualifiés;Réduction du temps de travail;Les journées de travail sont trop longues et nuisent à notre santé.;7
Ouvriers non qualifiés;Création d'emplois et formations;Nous avons besoin d'opportunités pour sortir du chômage.;8
Ouvriers non qualifiés;Accès à des soins de santé mentale;Les services de santé mentale sont débordés et beaucoup ne peuvent pas obtenir l'aide dont ils ont besoin.;9
Ouvriers non qualifiés;Amélioration des conditions de travail;Les conditions actuelles sont épuisantes, nous ne pouvons pas continuer ainsi.;10
Ouvriers non qualifiés;Soutien à la transition énergétique;Nous devons réduire notre dépendance aux énergies fossiles pour un avenir plus durable.;11
Ouvriers non qualifiés;Augmentation des pensions de retraite;Le coût de la vie augmente, notre pension ne suffit plus.;12
Ouvriers non qualifiés;Soutien aux industries locales;La délocalisation menace nos emplois, nous avons peur de perdre notre travail.;13
Ouvriers non qualifiés;Accès à l'éducation pour les adultes;Beaucoup d'adultes n'ont pas les compétences nécessaires pour les emplois actuels.;14
Ouvriers non qualifiés;Développement des transports publics;Les transports en commun sont insuffisants et mal desservis dans les zones rurales.;15
Ouvriers non qualifiés;Augmentation des aides sociales;Les aides actuelles ne suffisent pas à couvrir les besoins essentiels des plus démunis, ce qui complique énormément leur quotidien.;16
Ouvriers non qualifiés;Soutien à l'innovation entrepreneuriale;Les startups ont besoin de plus de financement pour se développer.;17
Ouvriers non qualifiés;Développement des transports publics;Les transports en commun sont insuffisants et mal desservis dans les zones rurales.;18
Ouvriers non qualifiés;Amélioration des infrastructures routières;Les routes sont dangereuses, c'est un risque quotidien pour nous.;19
Ouvriers non qualifiés;Renforcement de la lutte contre la discrimination au travail;Les inégalités de traitement persistent malgré les lois existantes.;20
Ouvriers non qualifiés;Augmentation des effectifs de police;Les équipes sont en sous-effectif, c'est stressant et dangereux.;21
Ouvriers non qualifiés;Lutte contre le harcèlement scolaire;Les enfants doivent pouvoir aller à l'école sans crainte de subir des mauvais traitements.;22
Ouvriers non qualifiés;Amélioration des infrastructures routières;Les routes sont dangereuses, c'est un risque quotidien pour nous.;23
Ouvriers non qualifiés;Soutien aux industries locales;La délocalisation menace nos emplois, nous avons peur de perdre notre travail.;24
Ouvriers non qualifiés;Soutien aux personnes sans emploi;La précarité est difficile à vivre, nous avons besoin de soutien.;25
Ouvriers non qualifiés;Amélioration des conditions de travail;Les conditions actuelles sont épuisantes, nous ne pouvons pas continuer ainsi.;26
Ouvriers non qualifiés;Réduction des délais d'attente pour les soins médicaux;Les patients doivent attendre trop longtemps pour obtenir des soins de qualité.;27
Ouvriers non qualifiés;Soutien aux industries culturelles;La pandémie a durement frappé ce secteur, nous sommes au bord du gouffre.;28
Ouvriers non qualifiés;Soutien à l'agriculture biologique;L'agriculture durable est cruciale pour la santé et l'environnement, et le manque de soutien actuel met les agriculteurs dans une position délicate.;29
Ouvriers non qualifiés;Amélioration de la sécurité au travail;Les accidents sont fréquents et les mesures de sécurité sont insuffisantes.;30
Ouvriers non qualifiés;Augmentation des allocations familiales;Les coûts liés à l'éducation des enfants sont de plus en plus élevés.;31
Ouvriers non qualifiés;Amélioration des infrastructures routières;Les routes sont dangereuses, c'est un risque quotidien pour nous.;32
Ouvriers non qualifiés;Réduction des frais médicaux;Les dépenses de santé sont difficiles à supporter pour les familles modestes.;33
Ouvriers non qualifiés;Meilleure accessibilité des bâtiments publics;Les personnes à mobilité réduite rencontrent encore trop d'obstacles, ce qui limite leur autonomie.;34
Ouvriers non qualifiés;Protection de l'environnement;Les politiques actuelles ne font pas assez pour lutter contre le changement climatique.;35
Ouvriers non qualifiés;Amélioration de la sécurité au travail;Les accidents sont fréquents et les mesures de sécurité sont insuffisantes.;36
Ouvriers non qualifiés;Augmentation des budgets pour la recherche;Les financements sont insuffisants, nous ne pouvons pas avancer.;37
Ouvriers non qualifiés;Augmentation des pensions d'invalidité;Les personnes handicapées ne reçoivent pas assez de soutien financier, ce qui les laisse souvent dans des situations très difficiles.;38
Ouvriers non qualifiés;Soutien aux familles nombreuses;Les familles nombreuses ont des besoins spécifiques qui ne sont pas toujours pris en compte, ce qui complique leur gestion quotidienne.;39
Ouvriers non qualifiés;Amélioration des infrastructures routières;Les routes sont dangereuses, c'est un risque quotidien pour nous.;40
Ouvriers non qualifiés;Amélioration des services de garde d'enfants;Les places en crèche sont insuffisantes, ce qui complique la vie des parents qui travaillent.;41
Ouvriers non qualifiés;Protection de l'environnement;Les politiques actuelles ne font pas assez pour lutter contre le changement climatique.;42
Ouvriers non qualifiés;Réduction des taxes agricoles;Les coûts de production sont trop élevés et les marges trop faibles pour survivre.;43
Ouvriers non qualifiés;Création de logements sociaux;Il y a une pénurie de logements abordables pour les familles à faible revenu.;44
Ouvriers non qualifiés;Augmentation des budgets pour la recherche;Les financements sont insuffisants, nous ne pouvons pas avancer.;45
Ouvriers non qualifiés;Soutien aux travailleurs indépendants;Les charges sociales et fiscales sont trop lourdes pour les auto-entrepreneurs.;46
Ouvriers non qualifiés;Renforcement de la lutte contre la discrimination au travail;Les inégalités de traitement persistent malgré les lois existantes.;47
Ouvriers non qualifiés;Augmentation des pensions d'invalidité;Les personnes handicapées ne reçoivent pas assez de soutien financier, ce qui les laisse souvent dans des situations très difficiles.;48
Ouvriers non qualifiés;Réduction de la charge fiscale sur les entreprises;Les impôts sont trop élevés, nous avons du mal à rester à flot.;49
Ouvriers non qualifiés;Augmentation des allocations familiales;Les coûts liés à l'éducation des enfants sont de plus en plus élevés.;50
Conducteurs de véhicules et du personnel de transport;Soutien aux industries culturelles;La pandémie a durement frappé ce secteur, nous sommes au bord du gouffre.;1
Conducteurs de véhicules et du personnel de transport;Soutien aux personnes sans emploi;La précarité est difficile à vivre, nous avons besoin de soutien.;2
Conducteurs de véhicules et du personnel de transport;Amélioration des infrastructures urbaines;Les rues sont en mauvais état, cela dissuade les clients de venir.;3
Conducteurs de véhicules et du personnel de transport;Soutien aux familles monoparentales;Les parents seuls ont du mal à concilier vie professionnelle et vie familiale.;4
Conducteurs de véhicules et du personnel de transport;Réduction des taxes agricoles;Les coûts de production sont trop élevés et les marges trop faibles pour survivre.;5
Conducteurs de véhicules et du personnel de transport;Protection de l'environnement;Les politiques actuelles ne font pas assez pour lutter contre le changement climatique.;6
Conducteurs de véhicules et du personnel de transport;Soutien aux jeunes entrepreneurs;Les jeunes ont des idées innovantes mais manquent de moyens pour les réaliser, ce qui freine leur potentiel.;7
Conducteurs de véhicules et du personnel de transport;Lutte contre le harcèlement scolaire;Les enfants doivent pouvoir aller à l'école sans crainte de subir des mauvais traitements.;8
Conducteurs de véhicules et du personnel de transport;Augmentation des aides sociales;Les aides actuelles ne suffisent pas à couvrir les besoins essentiels des plus démunis, ce qui complique énormément leur quotidien.;9
Conducteurs de véhicules et du personnel de transport;Soutien aux petits commerces;La concurrence des grandes surfaces est écrasante, nous ne survivrons pas longtemps.;10
Conducteurs de véhicules et du personnel de transport;Réduction des frais médicaux;Les dépenses de santé sont difficiles à supporter pour les familles modestes.;11
Conducteurs de véhicules et du personnel de transport;Soutien aux petits commerces;La concurrence des grandes surfaces est écrasante, nous ne survivrons pas longtemps.;12
Conducteurs de véhicules et du personnel de transport;Programmes de reconversion professionnelle;Les opportunités sont limitées, nous avons besoin de nouvelles compétences.;13
Conducteurs de véhicules et du personnel de transport;Création de logements sociaux;Il y a une pénurie de logements abordables pour les familles à faible revenu.;14
Conducteurs de véhicules et du personnel de transport;Soutien à l'artisanat local;Le commerce en ligne nous écrase et on perd notre clientèle fidèle.;15
Conducteurs de véhicules et du personnel de transport;Réduction des frais médicaux;Les dépenses de santé sont difficiles à supporter pour les familles modestes.;16
Conducteurs de véhicules et du personnel de transport;Soutien psychologique pour les travailleurs;Le stress au travail est un problème majeur qui affecte la productivité et le bien-être.;17
Conducteurs de véhicules et du personnel de transport;Réduction des délais d'attente pour les soins médicaux;Les patients doivent attendre trop longtemps pour obtenir des soins de qualité.;18
Conducteurs de véhicules et du personnel de transport;Soutien aux industries culturelles;La pandémie a durement frappé ce secteur, nous sommes au bord du gouffre.;19
Conducteurs de véhicules et du personnel de transport;Augmentation des budgets pour la recherche;Les financements sont insuffisants, nous ne pouvons pas avancer.;20
Retraités;Programmes de reconversion professionnelle;Les opportunités sont limitées, nous avons besoin de nouvelles compétences.;1
Retraités;Soutien aux familles monoparentales;Les parents seuls ont du mal à concilier vie professionnelle et vie familiale.;2
Retraités;Soutien aux travailleurs indépendants;Les charges sociales et fiscales sont trop lourdes pour les auto-entrepreneurs.;3
Retraités;Soutien aux industries locales;La délocalisation menace nos emplois, nous avons peur de perdre notre travail.;4
Retraités;Amélioration des conditions de travail pour les enseignants;Les enseignants sont surchargés et manquent de ressources, ce qui affecte la qualité de l'enseignement.;5
Retraités;Promotion de l'égalité salariale entre hommes et femmes;Il existe encore un écart salarial important entre les sexes.;6
Retraités;Soutien à la transition énergétique;Nous devons réduire notre dépendance aux énergies fossiles pour un avenir plus durable.;7
Retraités;Réduction du temps de travail;Les journées de travail sont trop longues et nuisent à notre santé.;8
Retraités;Soutien aux industries locales;La délocalisation menace nos emplois, nous avons peur de perdre notre travail.;9
Retraités;Amélioration des services de garde d'enfants;Les places en crèche sont insuffisantes, ce qui complique la vie des parents qui travaillent.;10
Retraités;Soutien aux personnes sans emploi;La précarité est difficile à vivre, nous avons besoin de soutien.;11
Retraités;Soutien aux industries culturelles;La pandémie a durement frappé ce secteur, nous sommes au bord du gouffre.;12
Retraités;Soutien psychologique pour les travailleurs;Le stress au travail est un problème majeur qui affecte la productivité et le bien-être.;13
Retraités;Promotion de la diversité culturelle;Il est important de valoriser la richesse culturelle de notre pays pour éviter que certaines communautés ne se sentent exclues.;14
Retraités;Amélioration des infrastructures routières;Les routes sont dangereuses, c'est un risque quotidien pour nous.;15
Retraités;Réduction des frais médicaux;Les dépenses de santé sont difficiles à supporter pour les familles modestes.;16
Retraités;Réduction du temps de travail;Les journées de travail sont trop longues et nuisent à notre santé.;17
Retraités;Réduction des frais médicaux;Les dépenses de santé sont difficiles à supporter pour les familles modestes.;18
Retraités;Soutien aux familles monoparentales;Les parents seuls ont du mal à concilier vie professionnelle et vie familiale.;19
Retraités;Promotion de la diversité culturelle;Il est important de valoriser la richesse culturelle de notre pays pour éviter que certaines communautés ne se sentent exclues.;20
Retraités;Augmentation des pensions de retraite;Le coût de la vie augmente, notre pension ne suffit plus.;21
Retraités;Lutte contre le harcèlement scolaire;Les enfants doivent pouvoir aller à l'école sans crainte de subir des mauvais traitements.;22
Retraités;Soutien à l'agriculture biologique;L'agriculture durable est cruciale pour la santé et l'environnement, et le manque de soutien actuel met les agriculteurs dans une position délicate.;23
Retraités;Soutien à la transition énergétique;Nous devons réduire notre dépendance aux énergies fossiles pour un avenir plus durable.;24
Retraités;Soutien psychologique pour les travailleurs;Le stress au travail est un problème majeur qui affecte la productivité et le bien-être.;25
Retraités;Amélioration des conditions de travail;Les conditions actuelles sont épuisantes, nous ne pouvons pas continuer ainsi.;26
Retraités;Augmentation des aides sociales;Les aides actuelles ne suffisent pas à couvrir les besoins essentiels des plus démunis, ce qui complique énormément leur quotidien.;27
Retraités;Investissements dans l'innovation technologique;Nous devons rester compétitifs au niveau mondial, sinon nous serons dépassés.;28
Retraités;Programmes de reconversion professionnelle;Les opportunités sont limitées, nous avons besoin de nouvelles compétences.;29
Retraités;Amélioration des conditions de travail dans les hôpitaux;Les personnels soignants sont épuisés et les conditions de travail se détériorent.;30
Retraités;Réduction de la charge fiscale sur les entreprises;Les impôts sont trop élevés, nous avons du mal à rester à flot.;31
Retraités;Réduction de la charge fiscale sur les entreprises;Les impôts sont trop élevés, nous avons du mal à rester à flot.;32
Retraités;Amélioration des services de garde d'enfants;Les places en crèche sont insuffisantes, ce qui complique la vie des parents qui travaillent.;33
Retraités;Augmentation des effectifs de police;Les équipes sont en sous-effectif, c'est stressant et dangereux.;34
Retraités;Amélioration des infrastructures urbaines;Les rues sont en mauvais état, cela dissuade les clients de venir.;35
Retraités;Accès à des soins de santé mentale;Les services de santé mentale sont débordés et beaucoup ne peuvent pas obtenir l'aide dont ils ont besoin.;36
Retraités;Soutien psychologique pour les travailleurs;Le stress au travail est un problème majeur qui affecte la productivité et le bien-être.;37
Retraités;Stabilisation des contrats de travail;Le précariat est trop répandu, nous avons besoin de sécurité.;38
Retraités;Programmes de reconversion professionnelle;Les opportunités sont limitées, nous avons besoin de nouvelles compétences.;39
Retraités;Révision des honoraires des professions libérales;Les tarifs actuels ne nous permettent plus de vivre correctement.;40
Retraités;Soutien aux travailleurs indépendants;Les charges sociales et fiscales sont trop lourdes pour les auto-entrepreneurs.;41
Retraités;Soutien psychologique pour les travailleurs;Le stress au travail est un problème majeur qui affecte la productivité et le bien-être.;42
Retraités;Investissements dans l'innovation technologique;Nous devons rester compétitifs au niveau mondial, sinon nous serons dépassés.;43
Retraités;Augmentation des budgets pour la recherche;Les financements sont insuffisants, nous ne pouvons pas avancer.;44
Retraités;Soutien à l'agriculture biologique;L'agriculture durable est cruciale pour la santé et l'environnement, et le manque de soutien actuel met les agriculteurs dans une position délicate.;45
Retraités;Création de logements sociaux;Il y a une pénurie de logements abordables pour les familles à faible revenu.;46
Retraités;Soutien aux industries locales;La délocalisation menace nos emplois, nous avons peur de perdre notre travail.;47
Retraités;Soutien aux familles monoparentales;Les parents seuls ont du mal à concilier vie professionnelle et vie familiale.;48
Retraités;Promotion de la diversité culturelle;Il est important de valoriser la richesse culturelle de notre pays pour éviter que certaines communautés ne se sentent exclues.;49
Retraités;Augmentation des pensions de retraite;Le coût de la vie augmente, notre pension ne suffit plus.;50
Retraités;Augmentation des allocations familiales;Les coûts liés à l'éducation des enfants sont de plus en plus élevés.;51
Retraités;Simplification des démarches administratives;Les formalités sont trop complexes et nous font perdre un temps précieux.;52
Retraités;Soutien psychologique pour les travailleurs;Le stress au travail est un problème majeur qui affecte la productivité et le bien-être.;53
Retraités;Réduction des inégalités d'accès à la technologie;Tout le monde doit pouvoir bénéficier des avancées technologiques pour ne pas être laissé de côté.;54
Retraités;Création d'emplois et formations;Nous avons besoin d'opportunités pour sortir du chômage.;55
Retraités;Développement des transports publics;Les transports en commun sont insuffisants et mal desservis dans les zones rurales.;56
Retraités;Augmentation des pensions de retraite;Le coût de la vie augmente, notre pension ne suffit plus.;57
Retraités;Soutien à l'innovation entrepreneuriale;Les startups ont besoin de plus de financement pour se développer.;58
Retraités;Investissements dans l'innovation technologique;Nous devons rester compétitifs au niveau mondial, sinon nous serons dépassés.;59
Retraités;Amélioration des conditions de travail pour les enseignants;Les enseignants sont surchargés et manquent de ressources, ce qui affecte la qualité de l'enseignement.;60
Retraités;Amélioration de la sécurité au travail;Les accidents sont fréquents et les mesures de sécurité sont insuffisantes.;61
Retraités;Soutien à l'innovation entrepreneuriale;Les startups ont besoin de plus de financement pour se développer.;62
Retraités;Développement des transports publics;Les transports en commun sont insuffisants et mal desservis dans les zones rurales.;63
Retraités;Réduction des frais de scolarité;L'éducation doit être accessible à tous, c'est crucial pour l'avenir.;64
